IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MS_20161108_GEN_PRE_REP_TRUMP,USA_MS_20161108_GEN_PRE_DEM_CLINTON,USA_MS_20161108_GEN_PRE_LIB_JOHNSON,USA_MS_20161108_GEN_PRE_GRE_STEIN,USA_MS_20161108_GEN_PRE_CON_CASTLE,USA_MS_20161108_GEN_PRE_PRO_HEDGES,USA_MS_20161108_GEN_PRE_DEL_FUENTE
0,_003,_South Corinth,_28003000301,479,629,15,4,6,3,1
0,_003,_Biggersville,_28003000302,605,134,11,0,3,1,1
0,_003,_Rienzi,_28003000303,724,145,6,2,7,1,1
0,_003,_College Hill,_28003000401,419,243,13,5,3,1,1
0,_003,_Kossuth,_28003000402,1310,97,9,1,4,0,0
0,_003,_West Corinth,_28003000501,418,107,10,4,9,0,0
0,_003,_Union Center,_28003000502,832,80,7,1,1,0,1
0,_003,_Bethel,_28003000503,82,1,0,0,0,0,0
0,_003,_East Corinth,_28003000504,884,317,16,2,3,0,0
0,_005,_Vance Park,_28005000024,172,30,1,0,0,0,0
0,_005,_East Gloster,_28005000101,182,69,1,0,2,0,1
0,_005,_Liberty,_28005000102,406,143,6,1,0,1,1
0,_005,_New Zion,_28005000103,281,45,2,0,0,0,0
0,_005,_Zion Hill,_28005000104,303,61,2,0,1,0,0
0,_005,_Ariel,_28005000201,72,221,1,0,0,0,0
0,_005,_Berwick,_28005000202,109,244,0,2,0,0,0
0,_005,_East Centreville,_28005000203,223,128,0,0,0,0,0
0,_005,_Amite River,_28005000205,131,185,2,1,0,0,0
0,_005,_Crosby,_28005000301,92,98,0,0,1,1,0
0,_005,_Gloster,_28005000302,125,493,4,2,1,0,0
0,_005,_Homochitto,_28005000303,67,7,0,0,1,0,0
0,_005,_Oneil,_28005000304,218,7,0,0,0,0,0
0,_005,_East Fork,_28005000401,332,83,2,1,0,0,2
0,_005,_East Liberty,_28005000402,185,62,3,0,0,0,0
0,_005,_Smithdale,_28005000403,236,135,1,0,0,0,0
0,_005,_Tangipahoa,_28005000404,392,54,1,0,0,0,0
0,_005,_Riceville,_28005000501,171,149,4,0,1,0,0
0,_005,_South Liberty,_28005000502,111,193,3,1,0,1,0
0,_005,_Tickfaw,_28005000503,122,114,1,0,2,2,0
0,_005,_Walls,_28005000504,359,176,4,0,0,0,0
0,_007,_South Central,_28007000101,394,289,4,2,6,0,0
0,_007,_Williamsville,_28007000102,751,314,10,3,1,1,0
0,_007,_McCool,_28007000201,169,105,3,1,2,0,0
0,_007,_Liberty Chapel,_28007000202,188,52,4,2,0,0,0
0,_007,_Berea,_28007000203,110,4,0,0,2,0,0
0,_007,_Northeast,_28007000204,271,767,5,1,3,3,0
0,_007,_Carmack,_28007000301,192,9,3,1,2,0,0
0,_007,_Hesterville,_28007000302,175,26,1,0,4,0,0
0,_007,_Possumneck,_28007000303,132,73,1,0,1,0,1
0,_007,_North Central,_28007000304,240,27,3,0,1,0,0
0,_007,_Northwest,_28007000305,385,251,5,3,1,0,0
0,_007,_McAdams,_28007000401,125,141,0,1,1,0,0
0,_007,_Newport,_28007000402,146,123,1,0,1,0,1
0,_007,_Sallis,_28007000403,240,533,1,0,3,2,0
0,_007,_Southwest,_28007000404,94,205,0,0,3,1,0
0,_007,_Thompson,_28007000501,109,7,0,0,0,0,0
0,_007,_Zama,_28007000502,167,70,0,1,1,0,0
0,_007,_Providence,_28007000503,246,21,2,0,0,0,0
0,_007,_East,_28007000504,556,127,11,2,0,0,1
0,_007,_Ethel,_28007000505,207,98,3,0,0,1,0
0,_009,_Lamar,_28009000101,186,594,3,2,2,0,0
0,_009,_Canaan,_28009000102,299,475,2,1,0,0,0
0,_009,_Ashland,_28009000103,469,366,12,1,2,0,0
