IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_KY_20201103_GEN_PRE_REP_TRUMP,USA_KY_20201103_GEN_PRE_DEM_BIDEN,USA_KY_20201103_GEN_PRE_LIB_JORGENSEN,USA_KY_20201103_GEN_PRE_IND_WEST,USA_KY_20201103_GEN_PRE_IND_PIERCE,USA_KY_20201103_GEN_USS_REP_MCCONNELL,USA_KY_20201103_GEN_USS_DEM_MCGRATH,USA_KY_20201103_GEN_USS_LIB_BARRON
0,_111,_PRECINCT 166 42 DISTRICT,_00M166,64,396,2,5,2,62,402,6
0,_111,_PRECINCT 166 48 DISTRICT,_00S166,420,355,7,1,1,468,314,7
0,_111,_PRECINCT 167 32 DISTRICT,_00E167,282,613,9,4,3,256,618,31
0,_111,_PRECINCT 167 33 DISTRICT,_00F167,257,402,10,4,1,243,408,23
0,_111,_PRECINCT 167 34 DISTRICT,_00G167,118,236,8,2,0,112,241,14
0,_111,_PRECINCT 167 42 DISTRICT,_00M167,0,0,0,0,0,0,0,0
0,_111,_PRECINCT 167 48 DISTRICT,_00S167,339,360,12,1,0,387,330,5
0,_111,_PRECINCT 168 29 DISTRICT,_00B168,523,511,8,2,4,479,534,35
0,_111,_PRECINCT 168 32 DISTRICT,_00E168,236,185,4,2,0,238,187,5
0,_111,_PRECINCT 168 34 DISTRICT,_00G168,42,47,3,0,0,48,44,2
0,_111,_PRECINCT 168 42 DISTRICT,_00M168,12,147,3,1,0,12,147,7
0,_111,_PRECINCT 168 48 DISTRICT,_00S168,332,417,4,4,0,332,409,16
0,_111,_PRECINCT 169 29 DISTRICT,_00B169,406,312,17,2,1,397,322,22
0,_111,_PRECINCT 169 32 DISTRICT,_00E169,595,558,12,1,1,621,537,16
0,_111,_PRECINCT 169 33 DISTRICT,_00F169,163,235,0,0,0,155,232,11
0,_111,_PRECINCT 169 34 DISTRICT,_00G169,99,202,3,2,0,110,197,6
0,_111,_PRECINCT 169 42 DISTRICT,_00M169,15,458,4,0,0,10,457,9
0,_111,_PRECINCT 170 29 DISTRICT,_00B170,321,304,11,1,3,305,320,19
0,_111,_PRECINCT 170 33 DISTRICT,_00F170,164,287,5,3,0,148,290,22
0,_111,_PRECINCT 170 42 DISTRICT,_00M170,33,641,4,4,1,21,654,8
0,_111,_PRECINCT 171 32 DISTRICT,_00E171,220,335,8,0,3,228,328,11
0,_111,_PRECINCT 171 33 DISTRICT,_00F171,410,389,11,3,2,426,375,13
