IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_ND_20201103_GEN_PRE_REP_TRUMP,USA_ND_20201103_GEN_PRE_DEM_BIDEN,USA_ND_20201103_GEN_PRE_LIB_JORGENSEN,USA_ND_20201103_GEN_PRE_OTH_WRITEIN,USA_ND_20201103_GEN_HAL_REP_ARMSTRONG,USA_ND_20201103_GEN_HAL_DEM_RAKNERUD,USA_ND_20201103_GEN_HAL_LIB_PETERSON,USA_ND_20201103_GEN_HAL_OTH_WRITEIN,USA_ND_20201103_GEN_GOV_REP_BURGUM,USA_ND_20201103_GEN_GOV_DEM_LENZ,USA_ND_20201103_GEN_GOV_LIB_HENDRICKSON,USA_ND_20201103_GEN_GOV_OTH_WRITEIN,USA_ND_20201103_GEN_AUD_REP_GALLION,USA_ND_20201103_GEN_AUD_DEM_HART,USA_ND_20201103_GEN_AUD_OTH_WRITEIN,USA_ND_20201103_GEN_TRE_REP_BEADLE,USA_ND_20201103_GEN_TRE_DEM_HAUGEN,USA_ND_20201103_GEN_TRE_OTH_WRITEIN,USA_ND_20201103_GEN_INS_REP_GODFREAD,USA_ND_20201103_GEN_INS_OTH_WRITEIN,USA_ND_20201103_GEN_PSC_REP_KROSHUS,USA_ND_20201103_GEN_PSC_DEM_BUCKMANN,USA_ND_20201103_GEN_PSC_OTH_WRITEIN
0,_015,_East Auditorium 0703,_East Auditorium 0703,1374,464,49,10,1387,395,70,1,1168,384,98,228,1332,473,3,1263,541,8,1603,34,1311,473,3
0,_015,_East Auditorium 0707,_East Auditorium 0707,986,421,33,6,1009,368,46,0,886,368,67,96,944,435,2,902,473,4,1180,23,952,416,2
0,_015,_Evangel Assembly of God 0705,_Evangel Assembly of God 0705,648,147,8,9,657,127,11,1,534,121,26,118,622,150,2,570,190,4,683,11,628,138,3
0,_015,_Evangel Assembly of God 0708,_Evangel Assembly of God 0708,1132,501,38,6,1179,409,57,1,1050,412,65,118,1094,485,5,1071,504,9,1334,28,1115,455,3
0,_015,_Evangel Assembly of God 0805,_Evangel Assembly of God 0805,1181,268,31,6,1196,232,36,1,944,241,86,192,1145,275,2,1055,359,5,1236,13,1145,269,2
0,_015,_Good Shepherd Church 3501,_Good Shepherd Church 3501,600,406,37,13,659,343,37,1,602,331,51,61,646,363,2,570,424,5,803,20,654,353,1
0,_015,_Good Shepherd Church 3502,_Good Shepherd Church 3502,769,745,49,16,830,658,61,4,775,609,74,101,804,701,7,745,743,16,1142,58,812,692,5
0,_015,_Good Shepherd Church 3503,_Good Shepherd Church 3503,884,457,34,7,931,383,46,0,814,396,58,106,865,445,2,821,489,5,1097,28,866,438,4
0,_015,_Good Shepherd Church 4703,_Good Shepherd Church 4703,740,434,50,10,775,369,52,1,688,359,71,90,758,424,5,703,472,5,980,30,764,399,5
0,_015,_GracePoint Church 0702,_GracePoint Church 0702,1202,425,45,6,1278,324,40,0,1121,346,53,137,1192,392,2,1124,458,3,1417,14,1209,366,2
