IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_MI_20201103_GEN_PRE_DEM_BIDEN,USA_MI_20201103_GEN_PRE_REP_TRUMP,USA_MI_20201103_GEN_PRE_LIB_JORGENSEN,USA_MI_20201103_GEN_PRE_TAX_BLANKENSHIP,USA_MI_20201103_GEN_PRE_GRE_HAWKINS,USA_MI_20201103_GEN_PRE_NAT_FUENTE,USA_MI_20201103_GEN_USS_DEM_PETERS,USA_MI_20201103_GEN_USS_REP_JAMES,USA_MI_20201103_GEN_USS_TAX_WILLIS,USA_MI_20201103_GEN_USS_GRE_SQUIER,USA_MI_20201103_GEN_USS_NAT_DERN
0,_Antwerp Township,"_Antwerp Township, Precinct 2",_Antwerp Twp 2,922,1059,30,3,5,1,840,1124,20,8,3
0,_Antwerp Township,"_Antwerp Township, Precinct 3",_Antwerp Twp 3,493,666,21,0,0,0,452,699,11,6,3
0,_Antwerp Township,"_Antwerp Township, Precinct 4",_Antwerp Twp 4,624,674,18,4,3,0,579,691,18,15,3
0,_Antwerp Township,"_Antwerp Township, Precinct 5",_Antwerp Twp 5,735,999,29,4,2,0,674,1057,13,12,3
0,_Arbela Township,"_Arbela Township, Precinct 1",_Arbela Twp 1,295,631,14,3,1,2,345,572,11,6,1
0,_Arbela Township,"_Arbela Township, Precinct 2",_Arbela Twp 2,244,491,9,0,0,0,258,464,15,2,1
0,_Arcada Township,"_Arcada Township, Precinct 1",_Arcada Twp 1,356,622,11,1,1,0,354,617,8,4,1
0,_Arcadia Township,"_Arcadia Township, Precinct 1",_Arcadia Twp 1,531,1456,10,3,3,0,523,1428,21,10,5
0,_Arcadia Township,"_Arcadia Township, Precinct 1",_Arcadia Twp 1,263,240,5,0,0,0,247,249,2,2,1
0,_Arenac Township,"_Arenac Township, Precinct 1",_Arenac Twp 1,143,350,2,1,2,0,177,302,8,0,0
0,_Argentine Township,"_Argentine Township, Precinct 1",_Argentine Twp 1,706,1268,19,3,4,1,721,1213,23,11,2
0,_Argentine Township,"_Argentine Township, Precinct 2",_Argentine Twp 2,644,1237,25,2,8,1,690,1158,21,8,2
0,_Argentine Township,"_Argentine Township, Precinct 3",_Argentine Twp 3,171,362,6,1,1,0,190,343,2,1,0
0,_Argyle Township,"_Argyle Township, Precinct 1",_Argyle Twp 1,64,272,5,0,0,0,70,263,1,3,2
0,_Arlington Township,"_Arlington Township, Precinct 1",_Arlington Twp 1,363,580,15,0,3,0,351,584,7,10,2
0,_Armada Township,"_Armada Township, Precinct 1",_Armada Twp 1,657,1453,22,2,2,2,664,1394,14,13,7
0,_Armada Township,"_Armada Township, Precinct 2",_Armada Twp 2,343,988,18,0,3,0,369,930,15,5,6
0,_Arthur Township,"_Arthur Township, Precinct 1",_Arthur Twp 1,69,310,6,0,0,0,72,311,1,0,0
0,_Arvon Township,"_Arvon Township, Precinct 1",_Arvon Twp 1,104,271,4,0,1,0,112,256,1,7,3
0,_Ash Township,"_Ash Township, Precinct 1",_Ash Twp 1,539,1090,24,2,8,2,571,1019,26,19,6
0,_Ash Township,"_Ash Township, Precinct 2",_Ash Twp 2,582,1189,12,4,2,4,582,1138,18,14,6
0,_Ash Township,"_Ash Township, Precinct 3",_Ash Twp 3,406,959,14,1,4,0,430,914,12,6,2
0,_Ashland Township,"_Ashland Township, Precinct 1",_Ashland Twp 1,374,1042,17,0,0,0,366,1020,15,8,4
0,_Assyria Township,"_Assyria Township, Precinct 1",_Assyria Twp 1,274,888,8,1,1,1,284,845,14,9,5
0,_Athens Township,"_Athens Township, Precinct 1",_Athens Twp 1,354,946,17,3,2,0,350,921,16,12,4
0,_Atlas Township,"_Atlas Township, Precinct 1",_Atlas Twp 1,580,972,15,0,1,0,575,964,12,5,2
0,_Atlas Township,"_Atlas Township, Precinct 2",_Atlas Twp 2,331,619,11,2,5,0,345,597,6,3,3
0,_Atlas Township,"_Atlas Township, Precinct 3",_Atlas Twp 3,568,1147,16,4,3,0,551,1148,10,8,4
0,_Atlas Township,"_Atlas Township, Precinct 4",_Atlas Twp 4,517,707,19,2,3,0,503,699,7,9,1
