IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_SC_20161108_GEN_PRE_REP_TRUMP,USA_SC_20161108_GEN_PRE_DEM_CLINTON,USA_SC_20161108_GEN_PRE_LIB_JOHNSON,USA_SC_20161108_GEN_PRE_GRE_STEIN,USA_SC_20161108_GEN_PRE_IND_MCMULLIN,USA_SC_20161108_GEN_PRE_CON_CASTLE,USA_SC_20161108_GEN_PRE_AME_SKEWES,USA_SC_20161108_GEN_USS_REP_SCOTT,USA_SC_20161108_GEN_USS_DEM_DIXON,USA_SC_20161108_GEN_USS_LIB_BLEDSOE,USA_SC_20161108_GEN_USS_AME_SCARBOROUGH,USA_SC_20161108_GEN_USS_OTH_WRITEIN
0,_019,_NORTH CHARLESTON 21,_921,206,521,21,12,3,0,0,270,460,16,5,1
0,_019,_NORTH CHARLESTON 22,_922,220,634,16,11,8,3,0,285,588,11,1,1
0,_019,_NORTH CHARLESTON 23,_923,438,652,35,6,5,2,0,516,554,27,6,0
0,_019,_NORTH CHARLESTON 24,_924,356,977,30,27,7,2,2,454,889,25,9,3
0,_019,_NORTH CHARLESTON 25,_925,49,383,3,6,0,1,4,85,338,5,2,0
0,_019,_NORTH CHARLESTON 26,_926,45,279,3,1,0,1,0,59,265,1,1,0
0,_019,_NORTH CHARLESTON 27,_927,164,469,9,2,3,1,1,201,426,4,10,0
0,_019,_NORTH CHARLESTON 28,_928,76,327,9,1,1,4,0,113,287,6,1,0
0,_019,_NORTH CHARLESTON 29,_929,172,342,8,2,3,0,0,198,321,5,1,0
0,_019,_NORTH CHARLESTON 30,_930,299,867,20,18,4,2,7,355,807,14,6,2
0,_021,_Allens,_001,618,69,5,6,1,1,3,570,79,11,8,4
0,_021,_Alma Mill,_002,419,543,5,6,5,1,4,410,500,15,7,2
0,_021,_Antioch And Kings Creek,_003,759,103,12,2,7,3,4,677,143,24,7,0
0,_021,_Ashworth,_004,712,81,7,7,4,0,1,686,99,9,2,0
0,_021,_Blacksburg Ward No. 1,_005,446,173,7,0,1,1,0,421,172,13,5,1
0,_021,_BLACKSBURG WARD NO. 2,_007,714,161,23,2,1,4,4,649,166,35,6,0
0,_021,_Draytonville,_010,770,226,10,3,4,3,3,714,243,14,10,0
0,_021,_Ezells And Butler,_011,801,164,7,5,8,5,0,772,174,20,8,0
0,_021,_Gaffney Ward No. 1,_012,115,310,5,0,0,0,1,104,294,7,5,0
0,_021,_Gaffney Ward No. 2,_013,125,546,6,4,5,0,0,137,511,5,6,1
0,_021,_Gaffney Ward No. 3,_014,87,497,9,1,2,0,0,100,443,7,4,0
0,_021,_Gaffney Ward No. 4,_015,374,445,12,6,7,1,0,391,406,8,10,0
0,_021,_Gaffney Ward No. 5,_016,390,259,10,4,5,1,1,410,223,12,4,2
0,_021,_Gaffney Ward No. 6,_017,527,202,9,2,2,5,1,510,182,10,8,1
0,_021,_Grassy Pond,_018,1122,300,20,9,5,0,0,1131,277,17,5,0
0,_021,_Goucher And Thicketty,_019,675,112,6,2,2,6,1,653,112,13,6,0
0,_021,_Holly Grove-Buffalo,_020,710,93,16,8,7,1,0,670,107,20,12,0
0,_021,_Limestone Mill,_021,226,219,5,1,0,0,0,199,220,5,2,0
0,_021,_Littlejohn's And Sarratt's,_022,250,30,1,0,0,2,1,244,26,5,0,0
0,_021,_Macedonia,_023,768,169,10,2,1,0,0,757,150,20,3,0
0,_021,_Morgan,_024,715,101,7,5,3,0,0,695,106,10,2,0
0,_021,_Musgrove Mill,_025,578,231,6,2,7,5,1,568,223,13,5,0
0,_021,_Ninety Nine And Cherokee Falls,_026,544,60,4,0,3,0,0,503,74,8,7,0
0,_021,_Pleasant Grove,_027,307,309,5,0,6,0,0,315,282,5,1,0
0,_021,_Pleasant Meadows,_028,120,328,0,1,3,0,1,129,294,2,4,0
0,_021,_Timber Ridge,_030,572,74,10,1,3,0,0,534,96,13,2,1
0,_021,_White Plains,_031,724,169,10,0,0,1,1,659,187,23,9,1
0,_021,_Wilkinsville And Metcalf,_032,379,19,5,0,2,2,3,351,26,5,9,0
0,_021,_Woods,_033,620,99,10,1,2,10,0,606,86,23,8,4
0,_023,_Baldwin Mill,_001,235,407,7,0,0,0,0,176,401,11,13,0
0,_023,_Baton Rouge,_002,377,108,6,0,8,0,0,329,115,8,10,0
0,_023,_Beckhamville,_003,389,425,9,1,3,3,3,364,424,9,11,0
0,_023,_Blackstock,_004,257,190,8,4,5,0,1,238,198,4,4,1
0,_023,_Edgemoor,_009,601,258,17,2,5,4,3,562,271,19,6,1
0,_023,_Eureka Mill,_010,309,566,12,5,0,0,3,265,569,7,11,0
0,_023,_Fort Lawn,_011,663,475,12,2,8,2,0,619,473,20,4,0
0,_023,_Halsellville,_012,92,113,0,2,0,0,0,82,115,1,1,0
0,_023,_Hazelwood,_013,389,158,9,1,5,2,0,347,170,17,9,1
0,_023,_Lowrys,_018,528,198,10,7,1,0,0,490,226,11,6,0
0,_023,_Richburg,_021,620,415,16,4,9,4,5,562,442,27,3,0
0,_023,_Rodman,_022,529,268,9,5,8,4,2,500,269,20,4,0
0,_023,_Rossville,_023,228,120,3,0,0,0,1,203,122,11,3,0
0,_023,_Wilksburg,_024,178,242,1,1,0,0,0,165,223,8,3,1
0,_023,_Chester Ward 1,_029,219,566,12,5,1,2,3,188,566,21,4,2
0,_023,_Chester Ward 2,_030,85,425,5,1,0,1,0,89,399,1,4,1
0,_023,_Chester Ward 3,_031,275,391,10,2,3,2,2,264,359,13,7,0
0,_023,_Chester Ward 4,_032,135,445,13,0,1,0,0,135,419,11,1,0
0,_023,_Chester Ward 5,_033,242,179,0,4,1,3,0,223,173,2,3,0
0,_023,_Lando/Lansford,_034,517,236,12,2,5,0,1,484,254,19,3,0
0,_023,_Great Falls,_035,397,394,4,2,1,3,5,364,390,19,11,0
0,_025,_Angelus-Catarrh,_001,287,163,2,2,1,5,0,277,169,1,3,0
0,_025,_Bay Springs,_002,207,39,1,1,4,3,1,187,48,5,3,0
0,_025,_Black Creek,_003,149,90,2,0,0,1,0,129,97,3,3,0
0,_025,_Brocks Mill,_004,362,546,9,1,4,2,3,341,527,10,1,0
0,_025,_Cash,_005,303,384,9,0,3,2,1,304,381,6,1,0
0,_025,_Center Grove-Winzo,_006,259,354,0,0,0,1,3,235,346,8,5,1
0,_025,_Cheraw No. 1,_007,486,339,15,5,1,3,3,499,306,13,5,1
0,_025,_Cheraw No. 2,_008,284,305,7,1,4,3,0,286,281,6,3,0
0,_025,_Cheraw No. 3,_009,252,758,6,1,8,4,3,267,706,6,6,1
0,_025,_Cheraw No. 4,_010,344,447,16,5,5,2,1,349,442,12,3,1
0,_025,_Courthouse,_011,713,355,9,1,4,0,1,698,340,13,2,2
0,_025,_Dudley-Mangum,_012,436,136,8,1,4,0,0,381,163,6,6,0
0,_025,_Grants Mill,_013,491,259,2,1,11,3,0,451,264,17,10,1
0,_025,_Jefferson,_014,629,462,16,3,1,8,0,599,476,17,2,1
0,_025,_Mcbee,_015,678,419,11,11,10,0,0,657,407,24,7,1
0,_025,_Middendorf,_016,395,66,11,4,4,0,0,376,79,17,2,0
0,_025,_Mt. Groghan,_017,178,67,2,1,1,2,0,173,73,1,1,0
0,_025,_Ousleydale,_018,425,71,6,1,7,5,0,385,97,16,5,0
0,_025,_Pageland No. 1,_019,565,495,9,3,3,7,0,544,488,9,3,0
0,_025,_Pageland No. 2,_020,550,426,12,1,4,2,3,528,400,9,8,4
0,_025,_Patrick,_021,246,167,11,2,3,1,3,234,164,9,3,0
0,_025,_Pee Dee,_022,161,37,1,0,0,0,0,153,43,0,0,0
0,_025,_Ruby,_023,388,261,6,1,4,1,0,341,257,12,6,0
0,_025,_Shiloh,_024,277,142,4,0,5,0,0,265,152,2,3,0
0,_025,_Snow Hill-Vaughn,_025,247,70,10,1,4,5,2,236,77,7,5,0
0,_027,_Alcolu,_001,281,361,8,1,0,2,1,298,335,7,3,0
0,_027,_Barrineau,_002,390,57,0,0,0,0,1,387,52,1,1,0
0,_027,_Barrows Mill,_003,105,51,1,0,4,0,0,104,60,0,0,0
0,_027,_Bloomville,_004,231,131,3,0,0,0,0,220,135,5,4,0
0,_027,_Calvary,_005,81,416,7,0,2,0,0,87,395,3,3,0
0,_027,_Davis Station,_006,606,534,15,4,3,3,3,605,507,18,8,1
0,_027,_Harmony,_007,265,286,4,0,1,0,0,262,283,4,1,0
0,_027,_Hicks,_008,444,96,3,0,1,0,3,436,104,8,1,0
0,_027,_Home Branch,_009,256,57,1,0,1,0,0,250,54,3,4,0
0,_027,_Jordan,_010,825,379,5,6,9,2,2,805,327,20,10,1
0,_027,_Manning No. 1,_011,150,275,3,0,1,0,0,156,264,3,1,0
0,_027,_Manning No. 2,_012,233,355,10,0,1,0,1,259,310,5,4,0
0,_027,_Manning No. 3,_013,497,284,15,0,9,3,0,514,262,8,1,0
0,_027,_Manning No. 4,_014,101,598,3,0,4,2,0,127,547,5,1,1
0,_027,_Manning No. 5,_015,290,388,4,3,6,0,1,308,349,10,4,0
