IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OR_20201103_GEN_PRE_DEM_BIDEN,USA_OR_20201103_GEN_PRE_REP_TRUMP,USA_OR_20201103_GEN_PRE_LIB_JORGENSEN,USA_OR_20201103_GEN_PRE_GRE_HAWKINS,USA_OR_20201103_GEN_PRE_PRO_HUNTER,USA_OR_20201103_GEN_PRE_OTH_WRITEIN,USA_OR_20201103_GEN_USS_DEM_MERKLEY,USA_OR_20201103_GEN_USS_REP_PERKINS,USA_OR_20201103_GEN_USS_LIB_DYE,USA_OR_20201103_GEN_USS_GRE_TAHER,USA_OR_20201103_GEN_USS_OTH_WRITEIN,USA_OR_20201103_GEN_ATG_DEM_ROSENBLUM,USA_OR_20201103_GEN_ATG_REP_CROSS,USA_OR_20201103_GEN_ATG_LIB_HEDBOR,USA_OR_20201103_GEN_ATG_OTH_WRITEIN,USA_OR_20201103_GEN_SOS_DEM_FAGAN,USA_OR_20201103_GEN_SOS_REP_THATCHER,USA_OR_20201103_GEN_SOS_LIB_MARKLEY,USA_OR_20201103_GEN_SOS_GRE_PARAVICINI,USA_OR_20201103_GEN_SOS_OTH_WRITEIN,USA_OR_20201103_GEN_TRE_DEM_READ,USA_OR_20201103_GEN_TRE_REB_GUDMAN,USA_OR_20201103_GEN_TRE_IND_HENRY,USA_OR_20201103_GEN_TRE_CON_MARSH,USA_OR_20201103_GEN_TRE_OTH_WRITEIN
0,_Multnomah,_4506,_4506,2656,717,30,32,6,24,2548,648,55,104,4,2486,693,69,12,2285,731,91,173,5,2307,719,197,61,3
0,_Multnomah,_4508,_4508,3550,590,53,33,18,46,3454,532,64,144,7,3407,565,72,17,3138,592,108,264,6,3064,605,308,54,8
0,_Multnomah,_4509,_4509,1896,791,42,5,9,21,1851,724,43,73,5,1791,747,51,10,1656,782,68,114,5,1641,749,140,69,2
0,_Multnomah,_4510,_4510,1647,662,27,10,6,8,1589,631,26,52,3,1522,659,38,12,1410,698,54,93,3,1421,672,106,31,2
0,_Multnomah,_4511,_4511,1779,694,36,13,5,21,1721,634,40,94,2,1685,658,61,13,1560,675,59,128,9,1535,674,143,48,6
0,_Multnomah,_4512,_4512,474,95,10,3,2,7,457,92,11,13,1,434,93,14,5,414,112,10,26,0,407,114,31,5,1
0,_Multnomah,_4601,_4601,8828,785,68,64,19,67,8595,788,72,241,8,8413,848,119,8,7885,989,137,446,8,7756,1023,495,62,4
0,_Multnomah,_4602,_4602,3434,263,32,15,1,16,3351,291,31,50,2,3223,334,42,11,3053,403,52,109,6,3047,429,102,18,3
0,_Multnomah,_4604,_4604,4527,1244,76,41,27,56,4395,1088,96,186,7,4294,1138,132,22,3974,1187,146,327,7,3960,1171,358,100,7
0,_Multnomah,_4605,_4605,4359,612,69,39,9,35,4207,586,79,147,2,4119,622,85,15,3823,692,101,255,9,3814,668,296,54,2
0,_Multnomah,_4606,_4606,8834,1372,132,95,22,78,8611,1248,137,326,9,8449,1306,185,34,7830,1370,219,655,7,7707,1400,738,112,10
0,_Multnomah,_4607,_4607,2627,929,46,28,10,30,2575,810,66,75,4,2439,855,91,8,2214,904,109,188,2,2252,885,194,64,2
0,_Multnomah,_4608,_4608,1127,277,25,16,7,11,1083,247,25,55,1,1076,245,37,4,970,254,48,98,0,982,242,101,33,3
0,_Multnomah,_4701,_4701,1880,848,33,13,5,18,1850,769,48,58,2,1784,799,54,12,1659,849,80,89,2,1680,810,107,49,3
0,_Multnomah,_4702,_4702,528,254,13,4,1,10,525,233,16,11,2,502,250,21,3,460,253,22,37,3,451,251,45,13,2
0,_Multnomah,_4703,_4703,1474,605,33,15,3,22,1454,552,48,40,1,1389,600,39,5,1294,627,54,71,1,1261,618,109,36,1
0,_Multnomah,_4704,_4704,2582,1315,39,17,13,22,2537,1242,55,79,6,2442,1269,66,21,2292,1312,95,133,4,2326,1257,141,76,4
0,_Multnomah,_4705,_4705,3847,1397,75,33,15,36,3760,1237,106,169,4,3638,1315,130,16,3378,1348,168,241,7,3331,1342,327,80,3
0,_Multnomah,_4706,_4706,2001,1181,75,28,14,20,1955,1088,91,102,2,1874,1142,92,15,1733,1148,120,152,6,1733,1117,196,84,3
0,_Multnomah,_4707,_4707,1196,493,25,11,5,17,1176,451,26,54,3,1144,464,30,7,1041,471,52,98,4,1055,449,104,26,5
0,_Multnomah,_4708,_4708,2685,1054,47,27,10,25,2628,942,81,105,3,2538,1006,78,15,2350,1042,109,178,3,2309,1004,214,85,5
0,_Multnomah,_4709,_4709,1304,598,31,17,5,12,1301,520,49,40,1,1202,584,56,10,1146,594,73,69,3,1108,585,107,55,1
0,_Multnomah,_4710,_4710,2175,1285,62,25,10,23,2119,1170,69,93,5,2039,1203,96,12,1889,1221,126,131,3,1873,1170,208,83,3
0,_Multnomah,_4801,_4801,925,487,24,7,4,10,868,469,30,44,1,849,473,35,12,771,509,54,53,1,787,493,77,22,1
0,_Multnomah,_4802,_4802,31,11,1,1,0,0,29,12,1,1,0,30,11,1,0,26,13,1,3,0,24,13,5,0,0
0,_Multnomah,_4803,_4803,5421,1636,119,69,23,72,5283,1432,152,271,13,5213,1471,221,31,4819,1532,227,428,9,4731,1528,542,138,7
0,_Multnomah,_4804,_4804,1209,373,33,18,5,8,1162,336,35,59,0,1132,350,42,5,1060,358,41,93,1,1042,339,112,30,1
